Feature,Importance
SrcMac,0.6239083344431983
DIntPkt,0.08051780195615822
DstJitter,0.07173821861248444
SIntPkt,0.04028409932821111
Dur,0.03807741883064136
SrcLoad,0.03337343234099024
DstLoad,0.03261918506954202
Load,0.02283474781667171
Rate,0.016780244034204552
SrcJitter,0.010330328043326275
Sport,0.009335718669434239
Packet_num,0.005004966876903708
Temp,0.004584767601047374
Pulse_Rate,0.0029988486656965696
Heart_rate,0.0020432994316664736
Resp_Rate,0.001561336601711784
SpO2,0.0014126586488660345
ST,0.0013166004167751608
SYS,0.0006835091437568835
DIA,0.0005944834687136411
